@relation WalkForward_3_BOOKKEEPER_TRAINING-SET_R[4.2.1]-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute LOCTOUCHED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute NPBM numeric
@attribute NPVM numeric
@attribute NSM numeric
@attribute NAM numeric
@attribute LOCM numeric
@attribute BUGGY {YES,NO}

@data
4.2.0,12,3,584,316,26.333334,140,347,285,23.75,121,44,0,0,49,231,NO
4.2.0,0,0,32,0,0,0,0,0,0,0,1,0,0,1,15,NO
4.2.0,0,0,111,0,0,0,0,0,0,0,5,0,0,7,18,NO
4.2.0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,17,NO
4.2.0,1,1,90,5,5,5,5,5,5,5,7,0,0,7,16,YES
4.2.0,0,0,27,0,0,0,0,0,0,0,3,0,0,3,15,NO
4.2.0,0,0,28,0,0,0,0,0,0,0,2,0,0,2,15,NO
4.2.0,5,1,92,64,12.8,28,72,56,11.2,27,5,0,0,5,59,YES
4.2.0,15,3,885,476,31.733334,125,641,351,23.4,118,40,3,0,52,198,YES
4.2.0,0,0,67,0,0,0,0,0,0,0,4,0,0,4,15,NO
4.2.0,0,0,29,0,0,0,0,0,0,0,1,0,0,1,19,NO
4.2.0,1,1,105,0,0,0,0,0,0,0,5,0,0,5,20,NO
4.2.0,0,0,72,0,0,0,0,0,0,0,3,0,0,3,16,NO
4.2.0,0,0,37,0,0,0,0,0,0,0,1,0,0,1,23,NO
4.2.0,1,1,47,5,5,5,14,4,4,4,3,0,0,3,15,NO
4.2.0,0,0,31,0,0,0,0,0,0,0,1,0,0,1,21,NO
4.2.0,3,1,90,18,6,15,23,13,4.333334,12,3,0,0,3,15,YES
4.2.0,9,2,223,190,21.11111,68,325,173,19.222221,59,5,0,0,5,32,YES
4.2.0,3,2,214,80,26.666666,58,99,61,20.333334,39,8,0,0,8,53,NO
4.2.0,3,2,107,33,11,29,40,26,8.666667,24,5,0,0,5,20,YES
4.2.0,0,0,37,0,0,0,0,0,0,0,2,0,0,2,26,NO
4.2.0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,18,NO
4.2.0,0,0,48,0,0,0,0,0,0,0,1,0,1,2,19,NO
4.2.0,2,1,166,17,8.5,17,17,17,8.5,17,8,0,3,8,54,YES
4.2.0,4,1,213,78,19.5,59,106,50,12.5,31,9,0,2,10,91,YES
