Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,BUGGY
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\delivery\StubDeliveryManager.java,2,2,65,3,1.5,65,71,0,0.0,0,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\handlers\TestBaseHandler.java,1,1,116,0,0.0,116,116,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\handlers\TestSubUnsubHandler.java,2,2,166,11,5.5,166,188,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\integration\TestHedwigHub.java,3,2,693,39,13.0,692,769,1,0.33333334,1,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\integration\TestHedwigRegion.java,3,2,93,8,2.6666667,93,109,0,0.0,0,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\netty\TestPubSubServer.java,3,2,260,16,5.3333335,260,292,0,0.0,0,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\netty\WriteRecordingChannel.java,1,1,170,0,0.0,170,170,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\BookKeeperTestBase.java,8,3,168,60,7.5,126,204,58,7.25,22,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\StubPersistenceManager.java,2,2,112,2,1.0,112,116,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\StubScanCallback.java,2,2,48,7,3.5,48,62,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\TestBookKeeperPersistenceManagerBlackBox.java,2,2,76,3,1.5,76,82,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\TestBookkeeperPersistenceManagerWhiteBox.java,2,2,129,2,1.0,129,133,0,0.0,0,YES
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\TestLocalDBPersistenceManagerBlackBox.java,1,1,53,0,0.0,53,53,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\TestPersistenceManagerBlackBox.java,3,2,306,6,2.0,305,316,1,0.33333334,1,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\TestReadAheadCacheBlackBox.java,1,1,54,0,0.0,54,54,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\persistence\TestReadAheadCacheWhiteBox.java,2,2,268,9,4.5,268,286,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\subscriptions\StubSubscriptionManager.java,2,2,52,1,0.5,52,54,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\subscriptions\TestZkSubscriptionManager.java,2,2,206,17,8.5,206,240,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\topics\StubTopicManager.java,2,2,64,2,1.0,64,68,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\topics\TestConcurrentTopicAcquisition.java,1,1,206,0,0.0,206,206,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\server\topics\TestZkTopicManager.java,4,3,315,8,2.0,311,323,4,1.0,2,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\zookeeper\TestZkUtils.java,1,1,47,0,0.0,47,47,0,0.0,0,NO
4.0.0,hedwig-server\src\test\java\org\apache\hedwig\zookeeper\ZooKeeperTestBase.java,2,2,92,1,0.5,92,94,0,0.0,0,NO
4.1.0,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\BenchBookie.java,3,1,215,215,71.666664,215,215,215,71.666664,215,YES
4.1.0,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\BenchReadThroughputLatency.java,2,1,271,271,135.5,271,271,271,135.5,271,NO
4.1.0,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\BenchThroughputLatency.java,4,3,447,447,111.75,447,447,447,111.75,447,NO
4.1.0,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\MySqlClient.java,0,0,137,0,0.0,0,0,0,0.0,0,NO
4.1.0,bookkeeper-benchmark\src\main\java\org\apache\bookkeeper\benchmark\TestClient.java,2,2,368,295,147.5,83,466,396,198.0,79,YES
4.1.0,bookkeeper-benchmark\src\test\java\org\apache\bookkeeper\benchmark\TestBenchmark.java,3,1,214,214,71.333336,214,214,214,71.333336,214,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\Bookie.java,20,3,764,345,17.25,94,952,730,36.5,271,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BookieBean.java,2,2,51,51,25.5,51,51,51,25.5,51,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BookieException.java,2,2,150,63,31.5,24,68,58,29.0,24,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BookieMXBean.java,2,2,31,31,15.5,31,31,31,15.5,31,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\BufferedChannel.java,0,0,180,0,0.0,0,0,0,0.0,0,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\Cookie.java,2,1,196,196,98.0,196,196,196,98.0,196,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\EntryLogger.java,12,3,473,229,19.083334,63,456,364,30.333334,90,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\ExitCode.java,1,1,40,40,40.0,40,40,40,40.0,40,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\FileInfo.java,4,1,255,116,29.0,36,181,99,24.75,27,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\FileSystemUpgrade.java,4,3,379,379,94.75,379,379,379,94.75,379,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\GarbageCollectorThread.java,7,3,509,509,72.71429,509,509,509,72.71429,509,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\HandleFactory.java,1,1,32,32,32.0,32,32,32,32.0,32,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\HandleFactoryImpl.java,2,1,66,66,33.0,66,66,66,33.0,66,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\InterleavedLedgerStorage.java,4,2,187,187,46.75,187,187,187,46.75,187,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\Journal.java,3,2,576,576,192.0,576,576,576,192.0,576,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\JournalChannel.java,3,1,158,158,52.666668,158,158,158,52.666668,158,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerCache.java,8,2,46,11,1.375,4,527,511,63.875,470,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerCacheBean.java,2,1,27,27,13.5,27,27,27,13.5,27,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerCacheImpl.java,7,3,788,788,112.57143,788,788,788,112.57143,788,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerCacheMXBean.java,1,1,60,60,60.0,60,60,60,60.0,60,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerDescriptor.java,5,1,62,23,4.6,9,133,91,18.2,37,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerDescriptorImpl.java,2,1,88,88,44.0,88,88,88,44.0,88,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerDescriptorReadOnlyImpl.java,2,1,52,52,26.0,52,52,52,26.0,52,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerEntryPage.java,2,2,163,9,4.5,6,12,6,3.0,4,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\LedgerStorage.java,1,1,91,91,91.0,91,91,91,91.0,91,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\bookie\MarkerFileChannel.java,0,0,147,0,0.0,0,0,0,0.0,0,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\AsyncCallback.java,1,1,139,12,12.0,4,22,2,2.0,2,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BKException.java,1,1,282,11,11.0,6,11,11,11.0,6,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookKeeper.java,6,3,582,82,13.666667,27,130,74,12.333333,26,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookKeeperAdmin.java,4,2,800,91,22.75,33,110,78,19.5,33,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\BookieWatcher.java,3,1,216,16,5.3333335,4,21,11,3.6666667,4,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\CRC32DigestManager.java,1,1,55,9,9.0,6,13,5,5.0,5,NO
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\DigestManager.java,3,2,184,6,2.0,1,13,1,0.33333334,1,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\DistributionSchedule.java,1,1,65,13,13.0,11,22,16,16.0,10,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\LedgerCreateOp.java,2,1,150,25,12.5,22,57,49,24.5,21,YES
4.1.0,bookkeeper-server\src\main\java\org\apache\bookkeeper\client\LedgerDeleteOp.java,0,0,81,0,0.0,0,0,0,0.0,0,NO
