Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,0,0,62,0,0,0,0,0,0,0,0,0,2,8,20,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,0,0,87,0,0,0,0,0,0,0,1,0,0,1,20,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,0,0,52,0,0,0,0,0,0,0,0,0,0,0,20,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,0,0,163,0,0,0,0,0,0,0,15,1,0,16,24,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,0,0,109,0,0,0,0,0,0,0,0,0,0,0,70,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0,0,147,0,0,0,0,0,0,0,16,0,0,17,37,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,0,0,139,0,0,0,0,0,0,0,1,0,0,1,86,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,0,0,326,0,0,0,0,0,0,0,4,0,2,4,27,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,0,0,648,0,0,0,0,0,0,0,17,0,0,18,315,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,0,0,778,0,0,0,0,0,0,0,17,5,1,22,321,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,0,0,314,0,0,0,0,0,0,0,14,1,1,15,63,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,0,0,55,0,0,0,0,0,0,0,0,0,0,1,15,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,0,0,191,0,0,0,0,0,0,0,1,3,1,8,37,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,0,0,90,0,0,0,0,0,0,0,7,0,0,7,62,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,0,0,137,0,0,0,0,0,0,0,2,0,0,2,51,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,0,0,79,0,0,0,0,0,0,0,2,0,0,2,38,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,0,0,82,0,0,0,0,0,0,0,5,0,0,5,26,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,0,0,978,0,0,0,0,0,0,0,29,2,0,32,271,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0,0,467,0,0,0,0,0,0,0,11,1,2,13,92,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,0,0,189,0,0,0,0,0,0,0,5,0,0,5,46,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,0,0,153,0,0,0,0,0,0,0,5,1,0,6,38,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,0,0,84,0,0,0,0,0,0,0,0,0,1,2,15,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,0,0,182,0,0,0,0,0,0,0,2,0,0,2,48,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,0,0,358,0,0,0,0,0,0,0,7,5,0,15,41,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,0,0,126,0,0,0,0,0,0,0,4,0,0,4,26,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,0,0,106,0,0,0,0,0,0,0,6,0,0,6,25,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,0,0,109,0,0,0,0,0,0,0,7,0,0,7,23,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,0,0,85,0,0,0,0,0,0,0,0,0,0,4,19,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,0,0,236,0,0,0,0,0,0,0,16,0,0,16,103,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,0,0,314,0,0,0,0,0,0,0,18,0,0,18,167,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,0,0,694,0,0,0,0,0,0,0,53,0,0,53,336,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,0,0,27,0,0,0,0,0,0,0,0,0,0,0,18,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,0,0,89,0,0,0,0,0,0,0,1,0,1,4,33,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,0,0,301,0,0,0,0,0,0,0,8,0,0,13,89,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,0,0,153,0,0,0,0,0,0,0,8,0,0,8,35,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,0,0,466,0,0,0,0,0,0,0,19,6,0,26,118,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,0,0,244,0,0,0,0,0,0,0,10,2,2,12,75,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,0,0,192,0,0,0,0,0,0,0,11,0,0,11,112,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,0,0,250,0,0,0,0,0,0,0,7,1,2,8,82,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,0,0,248,0,0,0,0,0,0,0,16,0,1,16,74,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,0,0,275,0,0,0,0,0,0,0,15,0,1,19,26,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,0,0,176,0,0,0,0,0,0,0,0,0,1,1,88,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,0,0,624,0,0,0,0,0,0,0,17,4,4,24,72,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,0,0,91,0,0,0,0,0,0,0,8,0,0,8,18,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java,0,0,58,0,0,0,0,0,0,0,6,0,0,6,36,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,0,0,132,0,0,0,0,0,0,0,2,1,0,3,48,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,0,0,558,0,0,0,0,0,0,0,21,5,0,26,107,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,0,0,727,0,0,0,0,0,0,0,19,2,0,21,127,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,0,0,150,0,0,0,0,0,0,0,20,0,4,22,13,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0,0,174,0,0,0,0,0,0,0,4,1,0,5,54,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,0,0,148,0,0,0,0,0,0,0,5,1,0,6,47,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,0,0,92,0,0,0,0,0,0,0,1,0,1,1,38,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,0,0,665,0,0,0,0,0,0,0,6,2,9,16,221,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,0,0,88,0,0,0,0,0,0,0,2,0,2,2,38,NO
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,0,0,260,0,0,0,0,0,0,0,4,4,3,8,35,YES
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,0,0,54,0,0,0,0,0,0,0,1,0,2,2,21,NO
